Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia 
Marguerite Perey (19 de octubre de 1909 - 13 de mayo de 1975);1909;21-mar;Marguerite Perey (19 de octubre de 1909 - 13 de mayo de 1975). La química Marguerite Perey (1909-1975) nació un 19 de octubre.El 7 de enero de 1939, descubrió el elemento francio. Marguerite Perey anota en su cuaderno de laboratorio el descubrimiento de un nuevo elemento: el FrancioAlumna de Marie Curie, en 1962 fue la primera mujer en ser elegida miembro correspondiente de la Académie des sciences francesa. El 21 de marzo de 1946 defiende su tesis doctoral el elemento 87. Actinio K. En si última frase ponía nombre al elemento que acababa de descubrir , el Francio. Because of her work with francium, Perey was nominated five times for a Nobel Prize, but she never received it Finalmente el 21 de marzo de 1946, Marguerite presentaba su tesis L’élément 87: Actinium K . Su última frase recogía el privilegio del descubridor: “El nombre Francio, Fa, se propone para el lugar 87” (hoy día el símbolo del francio es Fr). Marguerite no consiguió el reconocimiento del Nobel, pero si abrió unas puertas que ni siquiera Marie Curie pudo abrir: en 1962 se convirtió en la primera mujer elegida miembro de la Academia de Ciencias de París. Como dijo Irène al terminar Marguerite la defensa de su tesis: “Hoy mi madre se habría sentido feliz”.;química;no;-;-;-;Francia;-
MARÍA PAZ GASALLA RIVERO;-;21-mar;MARÍA PAZ GASALLA RIVERO. OFTALMÓLOGA. La pionera de la Oftalmología en Lugo, de una familia con tradición médica. El 21 de marzo de 1962 sale publicada en el BOE su plaza como oftalmóloga en el Servicio Nacional de Sanidad;Oftalmóloga;no;-;-;-;España;-
Mary Ainsworth (1 de diciembre de 1913- 21 de marzo de 1999);1913;21-mar;Un 1 de diciembre nació la psicóloga que desarrolló, junto al psiquiatra John Bowlby, la teoría del apego, MARY AINSWORTH (1913-1999), pionera en los estudios del apego, y en consecuencia en la teoría del apego, tomando interés también por los aspectos psicológicos del ser humano y especialmente de la mujer, que hasta entonces habían sido relegados a un segundo plano.Mary D. Saslter nació en Glendale, Ohio (EEUU). Cuando era una niña su familia se trasladó a Canadá. Se graduó en Psicología del Desarrollo en la Universidad de Toronto, obteniendo su doctorado en 1939. Al concluir sus estudios se unió al cuerpo de la Armada de Mujeres Canadienses. También pasó cuatro años en el ejército, obteniendo el rango de Mayor.En 1950, tras casarse con Leonard Ainsworth, se trasladó a Londres y empezó a trabajar en el Instituto Tavistock junto a John Bowlby, teniendo un camino de investigación común, basado en las experiencias de separación de los niños con sus figuras de apego o cuidadores.En 1953 se trasladó a Uganda, donde trabajó en el Instituto Africano de Investigación Social de Kampala, continuando sus investigaciones sobre las relaciones tempranas de los niños con sus madres.En la universidad de Virginia, donde también fue profesora, continuó desarrollando su teoría del apego. Se retiró en 1984 y falleció el 21 de marzo de 1999, habiendo dedicado toda una vida a la investigación, desarrollo y elaboración de una de las teorías psicológicas más importantes hoy día.Sus aportaciones continúan siendo un pilar fundamental sobre el que se construyen nuevos estudios. No sólo logró formarse como psicóloga en un momento histórico difícil para las mujeres, sino que además se convirtió en una de las más destacadas investigadoras en el campo de la conducta humana.Entre otros reconocimientos, fue distinguida con el Premio William James y el APA Award for Distinguished Scientific Contributions to Psychology (1989), así como Miembro de la Real Academia Estadounidense de las Artes y las Ciencias.Cartel hecho por @pilar_terron#MaryAinsworth#Psicología#TeoríaDelApego#MujeresEnCiencia#womeninsteam#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy;psicóloga;si;Nacimiento en 2022;CArtel el 1 de diciembre;-;EEUU;-
Mary Dixon Kies (21 de marzo de 1752 - 1837);1752;21-mar;El 5 de mayo de 1809, Mary Dixon Kies se convierte en la primera mujer en recibir una patente estadounidense por una nueva técnica de tejido de paja con seda e hilo para hacer sombreros. Mary Dixon Kies (21 de marzo de 1752 - 1837) fue una inventora estadounidense. El 5 de mayo de 1809, el presidente James Madison firmó su patente para una nueva técnica de tejido de paja con seda e hilo para hacer sombreros. ​ Algunas fuentes dicen que fue la primera mujer en recibir una Patente de EE.UU., aun así otras fuentes citan a Hannah Slater en 1793, o Hazel Irwin, en 1808, como las primera;Inventora;no;-;-;-;EEUU;-
Nawal El Saadawi, (27 de octubre de 1931- 21 de marzo de 2021);1931;21-mar;Nawal El Saadawi, (27 de octubre de 1931- 21 de marzo de 2021) fue una escritora, feminista, médica, y activista política egipcia. Está considerada como una de las feministas más importantes de su generación. En 1972 escribió el libro Mujeres y Sexo, en el que denunció la práctica de la mutilación genital femenina, lo que la llevó a perder su trabajo como Directora General de Salud Pública del gobierno egipcio;Médica pionera;no;-;-;-;Egipto;-
Pascale Cossart (21 de marzo 1948);1948;21-mar;La bacterióloga Pascale Cossart (1948) nació un 21 de marzo.Trabajando en el Instituto Pasteur de París, es la principal autoridad en Listeria monocytogenes, un patógeno común y mortal, de origen alimentario, responsable de enfermedades como la encefalitis, meningitis, bacteriemia o gastroenteritis. Cuando era pequeña no se sentía especialmente interesada por la ciencia y nadie en su familia se dedicaba a nada relacionado con ésta. Pero al cumplir los trece años tuvo que comprarse un libro de química para el colegio y el mismo día que lo trajo a casa se lo leyó de cabo a rabo. Fue entonces cuando se dio cuenta de lo que quería hacer.Sus investigaciones se han centrado en la Listeria Monocytogenes, un patógeno (un elemento capaz de originar una enfermedad a la biología de un huésped, sea un humano, un animal o una planta) mortal que se transmite a través de los alimentos, responsable de enfermedades como la encefalitis, la meningitis, la bacteriemia o la gastroenteritis.Cossart ha logrado averiguar cuáles son los procesos genéticos y bioquímicos que hacen que esta bacteria sea tan efectiva y letal. Ha desentrañado también las formas en que atraviesa barreras fisiológicas como la hematoencefálica (la que está entre los vasos sanguíneos y el sistema nervioso central, que impide que entren muchas sustancias tóxicas), la intestinal y la placenta. Su investigación está a la vanguardia en biología de las enfermedades infecciosas, biología celular y microbiología.Por todo su trabajo, ha recibido numerosos galardones, entre ellos el Premio Robert Koch en 2007 o el Premio Balzan en 2013. recibió el Premio Selman A. Waksman en Microbiología el 21 de enero de 2021;Bióloga;no;-;-;-;Francia;-
Sheila Scott Macintyre (23 de abril de 1910-21 de marzo de 1960);1910;21-mar;La matemática Sheila Scott Macintyre (1910-1960) nació un 23 de abril.Es sobre todo conocida por su trabajo sobre la constante de Whittaker.Junto a Edith Witte escribió un diccionario matemático alemán-inglés: German-English Mathematical Vocabulary (1956).;Matemática;no;-;-;-;Escocia;-
Sofia Ionescu-Ogrezeanu (25 de abril de 1920 - 21 de marzo de 2008);1920;21-mar;La neurocirujana Sofia Ionescu-Ogrezeanu (1920-2008) nació un 25 de abril.Se la considera una de las primeras neurocirujanas del mundo.Apoyada por su madre, estudió medicina en Bucarest. Se ofreció como voluntaria para cuidar prisioneros soviéticos en el Hospital Stamate en Fălticeni. Entró en el servicio quirúrgico del hospital, realizando sus primeras operaciones quirúrgicas, en su mayoría amputaciones.En 1944, durante el bombardeo de Bucarest, se vio forzada a realizar neurocirugía a un niño por falta de personal médico: a partir de ese momento dedicó 47 años de su vida a la neurocirugía.;Neuróloga;no;-;-;-;Rumanía;-
Agnes Robertson Arber (23 de febrero de 1879 - 22 de marzo de 1960);1879;22-mar;La botánica e historiadora de la ciencia Agnes Arber (1879-1960) falleció un 22 de marzo. Es conocida sobre todo por sus estudios de anatomía comparada en plantas, especialmente en monocotiledóneas. Su libro Herbals: Their Origin and Evolution (publicado en 1912 y revisado en 1938) fue un libro de texto estándar en su época. Fue la primera mujer botánica miembro de la Royal Society.;Botánica;no;-;-;-;Inglaterra;-
Alejandra Jáidar Matalobos ( 22 de marzo de 1938 - 22 de septiembre de 1988);1938;22-mar;Alejandra Jáidar ( 22 de marzo de 1938 - 22 de septiembre de 1988) fue una física y divulgadora mexicana. Fue la primera graduada en física en México, entre 1958 y 1964 fue coordinadora de los laboratorios de física en la Facultad de Ciencias de la UNAM, realizó investigaciones en el Instituto de física de la UNAM, donde desempeñó el cargo de jefa del Departamento de Física Experimental en 1985 y fue coordinadora fundadora de la colección de libros “la ciencia desde México” publicada por el Fondo de Cultura Económica​. Actualmente la Sociedad Mexicana para la Divulgación de la Ciencia y la Técnica (SOMEDICyT) entrega el Premio Nacional de Divulgación de la Ciencia “Alejandra Jaidar” y el auditorio del Instituto de Física lleva su nombre .Su investigación se centró en la manera de aplicar métodos y técnicas de física nuclear como herramientas de análisis en otros campos de la física.;Física, divulgadora;no;-;-;-;México;-
April Greiman (22 de marzo de 1948);1948;22-mar;Un 22 de marzo nació la diseñadora gráfica pionera en el uso de la tecnología digital APRIL GREIMAN (1948), reconocida por su contribución al desarrollo del estilo New Wave en EEUU.April Greiman nació en Nueva York (EEUU). Comenzó sus estudios en el Kansas City Art Institute y los completó durante dos años en la Schule für Gestaltung de Basilea en 1971, con figuras influyentes como Armin Hofmann y Wolfgang Weingart. Su trabajo apareció en la portadas del nº 6 de Weingart (Typografische Monatsblätter) en 1973.Regresó a Nueva York para trabajar para el Taxi Project del Museum of Modern Art diseñando las publicaciones y elementos de promoción. En 1976 se trasladó a Los Ángeles para colaborar con el California Institute of Art, en el estudio multidisciplinar Made in Space, donde conoció al fotógrafo Jayme Odgers y se interesó por la fotografía experimental y los ordenadores. Ideó composiciones gráficas que encarnaban el estilo New Wave, un enfoque de diseño influenciado por el punk y el lenguaje posmoderno, que a su vez fueron influenciados por el diseño polaco, el cual incitaba a la libertad y a la identidad propia. Combinaba componentes analógicos y digitales con un estilo tipográfico expresivo donde tipografía, fotografía y resto de elementos se mezclaban sin jerarquías y un orden complejo, y se convirtió en una referencia en la historia del diseño gráfico digital.Actualmente desarrolla diferentes proyectos en colaboración con arquitectos. Para su trabajo “Inventing Flight” trabajó con un equipo de expertos en un enfoque activo del diseño para poder representar cada detalle de la historia aérea.Enseña en la School of Architecture y Southern California Institute of Architecture (SCI-Arc).Ha recibido numerosos premios como la Medalla de la AIGA o 4 Honoris Causa. El servicio postal de Estados Unidos lanzó un selló diseñado por ella para conmemorar la Decimonovena Enmienda a la Constitución de los Estados Unidos, que permitió el derecho a voto de las mujeres en el país.Cartel hecho por @pilar_terron#AprilGreiman#DiseñoGráficoDigital#NewWave#MujeresEnCiencia#womeninsteam#NoMoreMatildas#mujeresconciencia#concieMcia#taldíacomohoy;Diseñadora gráfica;si;2023;-;-;EEUU;-
Christine Johanna Buisman (22 Marzo 1900 – 27 Marzo 1936);1900;22-mar;La fitopatóloga Christine Buisman (1900-1936) nació un 22 de marzo.Dedicó su corta carrera al estudio de la grafiosis del olmo y a la selección de olmos resistentes.En 1927 demostró que el hongo Ophiostoma ulmi causaba esta enfermedad.El primer clon resistente de olmo obtenido en los Países Bajos fue nombrado en su honor en 1937.;Bióloga;no;-;-;-;Holanda;-
Greta Hammarsten (22 marzo 1896- 17 julio 1964);1896;22-mar;La médica Greta Hammarsten (1896-1964) nació un 22 de marzo.Estudió microquímica en Graz (1924) y química en el Laboratorio Carlsberg en Copenhague (1927-1928 y 1930-1931).Se inscribió en la Universidad de Lund en 1930, y se convirtió en doctora en medicina en 1940.Publicó cerca de ochenta artículos en química física, fisiología y nutrición.;Médica, nutricionista;no;-;-;-;Dinamarca;-
